1000 99 19/1000 99 19/1000 99 19/1000 99 19/
0.28 99 18/0.28 99 18/0.27-0.41 99 18/0.27-0.41 99 18/
0.42-0.55 99 17/0.42-0.55 99 17/0.55 99 17/0.55 99 17/
0.69 98 16/0.69 98 16/0.69 98 16/0.69 98 16/
0.83-0.97 95 15/0.83-0.97 95 15/0.83 95 15/0.83 95 15/
1.11-1.25 91 14/1.11-1.25 91 14/0.97 91 14/0.97 91 14/
1.39-1.53 84 13/1.39-1.53 84 13/1.11 84 13/1.11 84 13/
1.67-1.80 75 12/1.67-1.80 75 12/1.25 75 12/1.25 75 12/
1.94 63 11/1.94 63 11/1.39 63 11/1.39 63 11/
2.08-2.22 50 10/2.08-2.22 50 10/1.52 50 10/1.52 50 10/
2.36-2.50 37 9/2.36-2.50 37 9/1.66-1.80 37 9/1.66-1.80 37 9/
2.64-2.78 26 8/2.64-2.78 26 8/1.94 26 8/1.94 26 8/
2.91 16 7/2.91 16 7/2.08 16 7/2.08 16 7/
3.05-3.19 9 6/3.05-3.19 9 6/2.22 9 6/2.22 9 6/
3.33-3.47 5 5/3.33-3.47 5 5/2.36 5 5/2.36 5 5/
3.61-3.75 2 4/3.61-3.75 2 4/2.50 2 4/2.50 2 4/
3.89-4.03 1 3/3.89-4.03 1 3/2.64 1 3/2.64 1 3/
4.16 0.4 2/4.16 0.4 2/2.77 0.4 2/2.77 0.4 2/
4.30 0.1 1/4.30 0.1 1/2.92 0.1 1/2.92 0.1 1/
1000 0.1 0.1/1000 0.1 0.1/1000 0.1 0.1/1000 0.1 0.1/
